CATEGORIE,DATE,QUART,PDQ,X,Y,LAT,LONG
Introduction,20150107,jour,39,0,0,1,1
Introduction,20150107,jour,21,300674.366,5040778.251,45.5069129258,-73.552797516
Introduction,20150107,jour,23,302012.814,5046120.671,45.554992707,-73.5356992241
Introduction,20150107,jour,46,300071.477,5050516.203,45.5945345975,-73.5606070468
Introduction,20150107,jour,31,295188.5006,5045016.034,45.5449920571,-73.6230855173
Introduction,20150107,jour,44,300278.987,5044726.107,45.5424348288,-73.5578937756
Introduction,20150107,jour,30,296980.298,5045980.103,45.5536895,-73.6001550826
Introduction,20150107,jour,26,292966.089,5039549.522,45.4957681414,-73.6514137847
Introduction,20150107,soir,26,293989.768,5038258.533,45.4841678846,-73.6382875172
Introduction,20150107,soir,38,296241.313,5042953.466,45.5264460548,-73.6095671075
Introduction,20150107,soir,20,300241.442,5039093.983,45.4917544606,-73.5583221794
Introduction,20150107,soir,15,298997.82,5038568.679,45.4870183101,-73.5742268551
Introduction,20150107,soir,23,301406.282,5044438.713,45.5398551558,-73.5434562261
Introduction,20150107,soir,27,293632.281,5044694.483,45.542075421,-73.6430071774
Introduction,20150107,soir,35,296272.535,5043884.073,45.5348203838,-73.6091836097
Introduction,20150107,soir,38,299952.773,5044285.019,45.5384635642,-73.5620667353
Introduction,20150107,nuit,26,294473.871,5039745.084,45.4975518323,-73.6321260257
Introduction,20150108,nuit,24,297204.885,5042021.712,45.5180729375,-73.5972171721
Introduction,20150108,nuit,39,294782.814,5051564.412,45.603910576,-73.6284149811
Introduction,20150108,nuit,13,293384,5031480,45.4231617527,-73.6458793023
Introduction,20150108,nuit,35,297258.986,5043698.867,45.5331652057,-73.5965504959
Introduction,20150108,jour,31,294836.27,5044370.536,45.5391786934,-73.6275830571
Introduction,20150108,jour,48,301755.542,5049999.053,45.5898905457,-73.5390186091
Introduction,20150108,jour,20,299604.415,5040352.612,45.5030756975,-73.566485623
Introduction,20150108,jour,26,294028.229,5040028.804,45.5000981237,-73.637834366
Introduction,20150108,jour,39,295072,5053386.5,45.6203102615,-73.6247441221
Introduction,20150108,jour,44,299338.376,5047360.584,45.5661340157,-73.5699681611
Introduction,20150108,jour,44,299776.493,5046097.725,45.5547736887,-73.5643425326
Introduction,20150108,soir,39,294439.938,5050974,45.5985928754,-73.6327979229
Introduction,20150108,soir,16,298897.625,5036153,45.4652800671,-73.5754796156
Introduction,20150108,soir,30,295311.997,5047686.526,45.569023704,-73.6215558171
Introduction,20150108,soir,15,300253.022,5038086.044,45.4826846468,-73.5581646898
Introduction,20150108,soir,22,300736.988,5043888.602,45.5349014705,-73.5520219022
Introduction,20150108,soir,42,296751.443,5049177.532,45.5824583587,-73.6031389046
Introduction,20150108,soir,15,297090.806,5035502.025,45.4594046762,-73.5985749914
Introduction,20150108,soir,24,295946.813,5041673.5,45.51492475,-73.6133141256
Introduction,20150108,soir,31,295393.737,5043987.067,45.5357358522,-73.6204374822
Introduction,20150108,soir,42,295214.725,5049425.565,45.5846707533,-73.6228361308
Introduction,20150108,soir,38,298049.066,5042327.504,45.5208332593,-73.5864159138
Introduction,20150108,soir,45,298976.917,5057024.928,45.6530933077,-73.5747141306
Introduction,20150108,soir,23,302222.662,5045833.529,45.5524097115,-73.5330099075
Introduction,20150109,nuit,38,297074.382,5042882.038,45.5258130499,-73.5989011659
Introduction,20150109,nuit,21,300194.517,5041972.664,45.5176577414,-73.5589495667
Introduction,20150109,jour,42,296445.344,5049181.5,45.5824904552,-73.6070614968
Introduction,20150109,jour,30,297738.615,5047518.018,45.567536266,-73.5904647441
Introduction,20150109,jour,10,287710.736,5043078.067,45.5274103081,-73.7187780993
Introduction,20150109,jour,31,294926.337,5045772.834,45.5517983315,-73.6264580635
Introduction,20150109,jour,31,295344.793,5045670.567,45.550883906,-73.6210966767
Introduction,20150109,jour,27,292974.293,5046088.544,45.5546087791,-73.6514666398
Introduction,20150109,soir,27,293657.39,5045174.847,45.5463983002,-73.6426965826
Introduction,20150109,soir,21,299420.778,5040810.504,45.5071946104,-73.5688405653
Introduction,20150109,soir,8,291726.875,5032636,45.4335350239,-73.667085469
Introduction,20150109,soir,27,293042.21,5045729.591,45.5513799552,-73.6505881183
Introduction,20150109,soir,10,292408.814,5043451.547,45.5308703693,-73.6586426594
Introduction,20150110,nuit,30,295375.546,5048860.466,45.5795880288,-73.6207642981
Introduction,20150110,nuit,39,294614.541,5052405.748,45.6114786752,-73.6305897114
Introduction,20150110,nuit,20,299390.28,5040430.332,45.5037734272,-73.5692266699
Introduction,20150110,jour,13,296261.52,5032110.53,45.4288766414,-73.6091199358
Introduction,20150110,jour,20,300241.442,5039093.983,45.4917544606,-73.5583221794
Introduction,20150110,jour,45,297734.72,5055122.784,45.6359659097,-73.5906247463
Introduction,20150110,jour,13,296261.52,5032110.53,45.4288766414,-73.6091199358
Introduction,20150110,jour,13,296261.52,5032110.53,45.4288766414,-73.6091199358
Introduction,20150110,jour,23,301742.05,5044724.644,45.5424296228,-73.5391585369
Introduction,20150110,soir,42,299420.938,5049355.5,45.5840855306,-73.5689324293
Introduction,20150110,soir,20,298606.051,5039529.553,45.4956613107,-73.5792508474
Introduction,20150110,soir,31,295109.304,5044340.569,45.538912891,-73.6240863406
Introduction,20150110,soir,38,299453.624,5043923.443,45.535206318,-73.5684541795
Introduction,20150110,soir,38,298472.513,5041702.074,45.5152093634,-73.5809874757
Introduction,20150110,soir,33,294988.016,5043178.568,45.52845509,-73.6256161115
Introduction,20150111,nuit,38,297244.194,5042400.243,45.5214795345,-73.5967198549
Introduction,20150111,nuit,13,294770.781,5033340,45.4399202587,-73.6281962613
Introduction,20150111,nuit,44,299084.88,5046328.094,45.5568412943,-73.5732035967
Introduction,20150111,nuit,46,298886.969,5053044,45.6172713078,-73.5758199022
Introduction,20150111,nuit,21,299568.729,5040710.567,45.5062964608,-73.5669460985
Introduction,20150111,nuit,48,301216.409,5050260.814,45.5922433776,-73.5459302047
Introduction,20150111,nuit,11,294569.868,5035876.134,45.4627387205,-73.6308171278
Introduction,20150111,jour,39,294066.469,5048997,45.580797636,-73.6375416737
Introduction,20150111,jour,26,293963.376,5039441.842,45.494815393,-73.6386512523
Introduction,20150111,jour,16,298290.514,5034430.571,45.4497754083,-73.5832205456
Introduction,20150111,jour,3,277730.5,5039724,45.4969134209,-73.8463587692
Introduction,20150111,jour,30,295087.214,5047841.137,45.5704118401,-73.6244386962
Introduction,20150111,jour,11,296512.359,5037017.223,45.4730325223,-73.6059969452
Introduction,20150111,jour,20,0,0,1,1
Introduction,20150111,soir,21,300659.38,5039604.89,45.4963544318,-73.5529793946
Introduction,20150111,soir,27,0,0,1,1
Introduction,20150111,soir,23,302610.896,5046412.617,45.5576218749,-73.5280400944
Introduction,20150111,soir,15,297502.781,5036604.173,45.4693267568,-73.5933235686
Introduction,20150111,soir,38,298914.069,5040853.315,45.5075757496,-73.5753256795
Introduction,20150111,soir,21,299735.683,5040981.171,45.5087327007,-73.5648123353
Introduction,20150111,soir,49,305907.431,5061041.677,45.6892602209,-73.4857817496
Introduction,20150111,soir,31,294325.005,5044512.063,45.5404447033,-73.6341326872
Introduction,20150111,soir,35,295911.16,5044055.207,45.5363557932,-73.6138136656
Introduction,20150112,nuit,8,290865.344,5034018.5,45.4459587946,-73.6781356458
Introduction,20150112,nuit,38,299163.504,5042402.083,45.5215142515,-73.5721513242
Introduction,20150112,nuit,27,292399.806,5044307.545,45.5385727749,-73.6587796618
Introduction,20150112,nuit,38,299128.607,5042150.08,45.5192463458,-73.5725951151
Introduction,20150112,nuit,11,292771.392,5035588.509,45.4601218844,-73.6538079046
Introduction,20150112,nuit,39,293925.945,5050320.936,45.5927085889,-73.6393718498
Introduction,20150112,nuit,20,299750.959,5040587.762,45.5051927527,-73.5646127854
Introduction,20150112,jour,20,299697.209,5040093.093,45.5007411199,-73.5652954802
Introduction,20150112,jour,46,300866.156,5051344.5,45.6019927923,-73.5504280628
Introduction,20150112,jour,42,294928.661,5049606.029,45.5862906178,-73.6265057042
Introduction,20150112,jour,26,294107.857,5040344.549,45.5029405506,-73.6368223398
Introduction,20150112,jour,42,298253.938,5048683.5,45.578028672,-73.5838784608
Introduction,20150112,jour,23,301142.044,5046097.404,45.5547793126,-73.5468521645
Introduction,20150112,jour,20,299287.578,5040727.168,45.5064436783,-73.5705442536
Introduction,20150112,jour,13,297263.323,5031816.79,45.4262449242,-73.5963126334
Introduction,20150112,soir,44,299769.898,5045487.593,45.5492834616,-73.5644207306
Introduction,20150112,soir,22,300903.988,5044126.604,45.5370440554,-73.5498855657
Introduction,20150112,soir,15,297985.376,5037802.54,45.4801150955,-73.5871683292
Introduction,20150112,soir,44,298871.286,5045170.1,45.5464194783,-73.575925437
Introduction,20150112,soir,8,287895.875,5034229,45.4477874625,-73.7161032574
Introduction,20150112,soir,44,298112.087,5045255.593,45.5471818985,-73.5856491952
Introduction,20150112,soir,46,301043.226,5051008.499,45.598970343,-73.5481556116
Introduction,20150112,soir,44,297836.808,5045757.888,45.551699025,-73.589181717
Introduction,20150112,soir,15,298889.966,5038271.57,45.4843438848,-73.5756030458
Introduction,20150112,soir,8,288160.875,5034219.5,45.4477083362,-73.7127151853
Introduction,20150112,soir,16,299155.969,5034881.5,45.4538406199,-73.5721613171
Introduction,20150112,soir,38,299410.015,5041515.575,45.5135390467,-73.5689860549
